NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50,BTR_CVEM_K5,BTR_CVEM_K10,BTR_CVEM_K20,BTR_CVEM_K30,BTR_CVEM_K50,LDA_K5,LDA_K10,LDA_K20,LDA_K30,LDA_K50,sLDA_K5,sLDA_K10,sLDA_K20,sLDA_K30,sLDA_K50
-1.01303228249549,-1.0089898735758307,-1.0053991814866248,-0.9946816810751464,-0.9968916175143667,-0.9980662217125019,-1.0250603120229096,-1.018152510729706,-1.0154242835503655,-1.0158003195211929,-1.0038386487064876,-1.0134711772918097,-1.0156319193400447,-1.0143777315922697,-1.0156624630764646,-1.01530603338022,-1.028658275199316,-1.0257985768830828,-1.0385227424154027,-0.9964505757548144,-1.0152676352996695
-1.0129653533056526,-1.0089249106831883,-1.0053095398328282,-0.9946746056950024,-0.9968912470740199,-0.9980610662611371,-1.02500043293029,-1.0181506358038601,-1.015355162644345,-1.0157286972127437,-1.0037804094100904,-1.0131793301492709,-1.0155992325026224,-1.0143495213214262,-1.0156581949846746,-1.0152453575630649,-1.0286519725766357,-1.0257110411078234,-1.038188414150739,-0.9962975649831229,-1.0151515492609917
-1.0129219145629555,-1.0087513353508915,-1.0052812312335426,-0.9946744687509569,-0.9968879110694239,-0.9980585596639482,-1.0248481350888192,-1.0179162953399794,-1.0152492502966308,-1.0156192194517397,-1.0037711185023217,-1.0131250225910482,-1.0155243138045116,-1.0141815859596601,-1.0156351760483986,-1.0151634283673538,-1.0286161718327147,-1.0256989287037237,-1.0381590747281289,-0.9958571240764156,-1.0150372665459249
-1.0129172676949685,-1.00867015010218,-1.0052776576783244,-0.9946738751989347,-0.9968822335963523,-0.9980548777110274,-1.0247408336254262,-1.0178629246327129,-1.0151860960381154,-1.0155188267628312,-1.003766632897198,-1.0131009856015176,-1.0154555616976702,-1.0141616725615106,-1.0155685640078915,-1.0151439555204111,-1.0281339599332606,-1.0256921410496558,-1.0376209320495446,-0.9955494834639586,-1.0149467842174915
-1.0127690047533848,-1.0086141630341592,-1.0052516124908146,-0.9946695085753422,-0.9968793378105789,-0.9980466956583404,-1.0245873482040138,-1.0178228139273082,-1.0151619460020325,-1.0154364739613568,-1.0037262954943744,-1.013013604017271,-1.0154151005243737,-1.0140698507263053,-1.0154747105264117,-1.0150981407908892,-1.027977864058133,-1.0253960134658888,-1.0370330376756516,-0.9954865603565255,-1.0149335403902382
-1.0126316246807285,-1.008390586504301,-1.005225151825575,-0.9946621200545506,-0.996859488878111,-0.9980466206210208,-1.0240417046892314,-1.0172840857209224,-1.0151319621869879,-1.0153552178853766,-1.0036295460129405,-1.012912446057854,-1.0153370654733442,-1.0139920359361092,-1.015457429585568,-1.0149107128262453,-1.027915150707062,-1.0252723727397883,-1.03700882379852,-0.9954047717416565,-1.0147618119401745
-1.0126277754384672,-1.0083220645246187,-1.0052074043761319,-0.9946463111287225,-0.9968584980390566,-0.9980446017457342,-1.0239934931570425,-1.0171174012336979,-1.0151082567497325,-1.0153270639175072,-1.0036032601356408,-1.0128285462793787,-1.0153161024047221,-1.0139848948835564,-1.0153726453224114,-1.0148114756307178,-1.0274503111711137,-1.0252228456481811,-1.036928687368533,-0.9953745978408701,-1.014564755885588
-1.0125928066370167,-1.008311407616991,-1.0052054174640466,-0.9946429340769433,-0.9968564313724029,-0.9980428134664886,-1.0239369893450265,-1.0170199759813845,-1.0151067572018204,-1.0151564114555394,-1.0034515708594787,-1.0127196737190785,-1.0151941773175341,-1.0137889855727762,-1.0153189188483216,-1.0147288529356024,-1.0274026420364357,-1.0251358423882855,-1.0368157775713593,-0.9951515217832941,-1.0145570797785304
-1.0125748068551776,-1.008296355910233,-1.005141643349378,-0.9946396682106213,-0.9968507755496542,-0.9980285854128356,-1.0238544781929402,-1.016944917098714,-1.01509148530234,-1.0150823896800354,-1.0034086185936484,-1.0126429549523768,-1.015117854444717,-1.0137214629666154,-1.0152996921527877,-1.0146774652465007,-1.0272175941383934,-1.0250299995949874,-1.0365580470627365,-0.9949257139012628,-1.0143769487168635
-1.0124348114694794,-1.0082447419481229,-1.0050825534409515,-0.9946377002546181,-0.996843686669079,-0.9980281858037541,-1.0236837759567206,-1.0169384957103886,-1.0150727408255606,-1.0150677814962887,-1.0031593389211775,-1.012624305799115,-1.0149603529046218,-1.0136245350413975,-1.01502131184366,-1.0145819487718784,-1.0271011195019244,-1.0249421513435557,-1.0364393984661022,-0.9947350894414564,-1.01410852128463
-1.0124325263047849,-1.0081624948874324,-1.0050356689963642,-0.9946167326469446,-0.9968426544806828,-0.9980249618127135,-1.023494254509466,-1.0168721621345014,-1.0150623007412836,-1.0150512846308906,-1.0031293440052589,-1.0125570117970812,-1.0146975576140613,-1.0135977089801818,-1.0149329271023628,-1.0145149279545809,-1.02688395724786,-1.0248405752497627,-1.0361879522064585,-0.9947192888205973,-1.0134533337186842
-1.0123865645103176,-1.0079717712546554,-1.0050166229340165,-0.9946138890584715,-0.9968425184910316,-0.9980248990091146,-1.0232563052768713,-1.0168391153620062,-1.0149223088438264,-1.0148610661897748,-1.0030640368496622,-1.0124937886592718,-1.0146183946616771,-1.01359357476965,-1.0149230316897222,-1.014435189880141,-1.0268349361879914,-1.0243628071370923,-1.0361000703908705,-0.994581779795724,-1.0133465179466186
-1.0123608309698982,-1.00790656073936,-1.005016345331332,-0.9946107643549834,-0.9968382678282309,-0.9980206817394891,-1.0231707211608938,-1.0168376117068372,-1.014853984838837,-1.0148398966192755,-1.003048115991564,-1.0124884336659037,-1.0145960207625757,-1.0134372947822714,-1.0148911073556823,-1.0143180912532153,-1.0266364459315451,-1.0242842108714707,-1.0360567472121882,-0.9945695071402881,-1.0131320217942141
-1.0123273447690928,-1.0078280092259864,-1.0050002988509148,-0.9946043157837223,-0.9968350748078216,-0.9980205614948847,-1.023075472529319,-1.016802480836501,-1.014803245692568,-1.0148074063117263,-1.0028022314523466,-1.0124858579546938,-1.0145190595758862,-1.0133777604035812,-1.0148671171202468,-1.0142654835457112,-1.0265962295300155,-1.02428372921477,-1.036022448529443,-0.9940218725445223,-1.0131067230526363
-1.0123228091046013,-1.007685227879215,-1.0049605172326317,-0.9946013387226207,-0.9968315879477981,-0.9980204311314705,-1.0230732060702317,-1.0167130513612512,-1.0147320082717024,-1.0147841012484649,-1.0027962926947431,-1.0123135973815898,-1.0144785695200407,-1.0133253822182524,-1.0148582366653707,-1.0142048088552242,-1.0265141602156584,-1.0242273881313455,-1.035799540165128,-0.9940122682112896,-1.0131062877782036
-1.0121217732215702,-1.0074812767968848,-1.0048412173028545,-0.9945989333591767,-0.9968171345213339,-0.9980187835558155,-1.0230282315018004,-1.0166154383693324,-1.0145984015133727,-1.0146412397856606,-1.0025051524525457,-1.012259171001149,-1.0144358674395695,-1.013241713593894,-1.0148023435103166,-1.0141404074538303,-1.0265023771226236,-1.024155910363219,-1.035627320470743,-0.9939217331211333,-1.0130604738040474
